index,ref_text,pred_text,cer,wer,rtf,audio_duration_sec,inference_time_sec,audio
18,我計劃喺Australia過迎新年，去佢哋嘅beach party定好架！,我計劃喺澳洲遊過迎新年，去佢哋嘅 beach party，定好㗎～,0.3514,1.5,0.2792,5.589,1.5605,./audio/198.wav
19,Gender equality一直都係一個重要既議題，喺香港，我哋應該俾更多嘅opportunity比女性，改善佢哋嘅social status。,Gender equality一直都係一個重要嘅議題。喺香港，我哋應該比更多嘅opportunity俾女性改善佢哋嘅social figure。,0.1507,0.6667,0.1295,17.28,2.2382,./audio/1788.wav
20,"即使下雨天，也唔可以忘记carry a smile吖。""",即使下雨天，也唔可以忘記carry a smile呀～,0.1429,0.6667,0.2435,3.691,0.8985,./audio/650.wav
21,我去市場買緊groceries，發現新鮮嘅fruits同vegetables好平，我就買多咗啲回屋企。,我去市場買嘅sauces，發現新鮮嘅fruit同vegetables好平，我就買多咗啲，返回屋企。,0.1961,1.0,0.2901,6.827,1.9801,./audio/332.wav
22,Planning ahead真系好重要，一日之计在於morning，set up你的working plan幫助你more focused喺tasks上面。,training air真係好重要，因為設計在於Monica李的working plan，幫助你磨膚嘅洗髮塔上面。,0.5513,1.0,0.2795,6.315,1.7649,./audio/1359.wav
23,做瑜伽，係boost我嘅confidence、improve我嘅posture同埋improve我個overall well-being。,做瑜伽係boost我嘅confidence， improve我嘅posture，同埋 improve我嘅overall wellbeing。,0.1014,2.0,0.2661,5.655,1.5047,./audio/593.wav
24,"喺France嘅Paris, 瞧見嘅Eiffel Tower, 真係令人impressive嘅architectural marvel！",佢發現嘅powers，修建嘅Avril Tower，再令人 impresses an intricate marble。,0.6471,1.2,0.1324,10.17,1.3469,./audio/1391.wav
25,唔該保持critical thinking嘅態度，唔可以盲從自己嘅立場或觀點。,唔該保持critical心情嘅態度，唔可以盲從自己嘅樂暢或觀點。,0.2821,1.0,0.1626,8.171,1.3283,./audio/1800.wav
26,我好appreciate Hong Kong嘅Street Art，有時候仲會進行photography去capture佢地嘅essence。,我 appreciate Hong Kong嘅 street art，有時仲會進行 photography，去 capture 佢哋嘅意思。,0.2394,2.0,0.3414,4.672,1.5949,./audio/1314.wav
27,雪嘅white真係犹如天堂般pure，但系冷度确实you倒人忍受。,葉雀威真係猶如天堂般飄，但係冷度確實要到人難受。,0.6061,1.0,0.2306,6.059,1.3971,./audio/1111.wav
28,勤力向上，一步一步嘅build up你嘅career ladder.,勤力向上，一步一步嘅build up你嘅career ladder。,0.0294,0.3333,0.2415,3.968,0.9583,./audio/1006.wav
29,推拿游泳不只可以係一個great cardio，仲可以train咁我哋嘅endurance。,推拿有用，不只可以係一個great cardio，仲可以推我哋嘅influence。,0.3043,1.0,0.293,4.715,1.3812,./audio/1326.wav
30,"Failure唔係the end，它只係教我哋學習如何做得更好嘅一個part。""",菲利昂係DM，佢只係教我哋學習如何做得咁好嘅一個part。,0.45,1.0,0.2812,5.269,1.4817,./audio/426.wav
31,Sunset嘅时候，去海边chill下，好relaxing呢。,休息嘅時候去海邊training下，好relaxing咧～,0.5806,1.0,0.1526,6.613,1.0094,./audio/1558.wav
32,亦有百花饼，核桃，花生，枣泥，sweet and crunchy，实在满足！,亦有白花餅、核桃花生組立，sweet and crunchy，實在滿足。,0.2632,0.6667,0.253,4.587,1.1605,./audio/1293.wav
33,我開始玩basketball，學習點樣teamwork同埋如何make good strategics play。,我開始玩 basketball，學習點樣聽話同埋如何plays good strategies play。,0.2456,0.75,0.1879,5.931,1.1147,./audio/590.wav
34,去海灘做beach volleyball係一個super fun嘅戶外運動，可以讓你burn calories，而且可以enjoy海風嘅清涼。,去海灘做 beach volleyball，係一個 super fun 嘅戶外運動，可以讓你 break calorie，而且可以 enjoy 海風嘅清涼。,0.169,2.5,0.1605,13.333,2.1404,./audio/1957.wav
35,近日有時間我哋去Causeway Bay逛下Zara，此刻嗰度有mid-season sale喎！,今日有時間，我哋去Cosway Bay逛下Zara。此刻嗰度有Mixvision sale和。,0.3061,1.0,0.1345,11.776,1.5841,./audio/1976.wav
36,喺Nepal嘅Kathmandu，行過Buddhist temples，感受到spiritual嘅peace！,喺呢度嘅卡文圖，行過菩提寺，感受到spiritual嘅peace。,0.5636,1.0,0.2232,5.909,1.3192,./audio/1132.wav
37,我尋日喺Adidas買到pair of sneakers，sales price真係好吸引呀！,我尋晚喺 adidas 媽都 pair 好少，sales price 好吸引啊～,0.4681,1.75,0.3185,4.48,1.427,./audio/985.wav
38,我每周都會去swim，喺水中感覺好係freedom。,我每週都會去swim，喺佢中嘅感覺好似freedom。,0.1538,1.0,0.3177,3.84,1.22,./audio/398.wav
39,政府應該重視local small businesses，喺過去嘅疫境中，好多嘅小店都面對close down嘅危機。,政府應該做是local small business。喺過去嘅疫情中，好多嘅小店都面臨cost down嘅危機。,0.1525,0.5,0.1439,12.395,1.7831,./audio/1511.wav
40,朝朝暮暮嘅hard work都一定會帶嚟rewards，無謂怕辛苦，我哋要cherish每一次嘅opportunity。,朝朝暮暮嘅 hard work 都一定會帶嚟 rewards。無論怕辛苦，我哋要 cherish 每一次嘅 opportunity。,0.1333,4.0,0.2478,7.936,1.9667,./audio/436.wav
41,我真係好鍾意川味擔擔麵，個peppery kick係簡直irresistible！,我真係好中意川味擔擔麵，個 peppery cake 真～,0.4878,2.0,0.2246,5.376,1.2075,./audio/192.wav
42,去年聖誕節嗰次喺Harrods買嘅chocolate太好食，我今年打算再買多幾盒送禮。,去年聖誕節嗰次喺Haris買咗tricky，太好食。我今年打算再買多幾盒送禮。,0.3023,1.0,0.1934,10.101,1.9537,./audio/1435.wav
43,Browsing一下新嘅fashion trend，會令我更了解自己嘅style，少買啲mismatch嘅衫褲。,我將佢out嚟shopping，因為你可以用更少嘅錢就get到高品質嘅產品。,0.8393,1.0,0.2987,5.163,1.5419,./audio/614.wav
44,"我鍾意去咗karaoke club, 同friend唱晚whole night，好joyful喎!",我中意去左卡拉OK，及同friend唱晚Overnight，好張闊和。,0.5918,1.0,0.1582,8.555,1.3537,./audio/1493.wav
45,我真係無法抗拒Netflix出碟嘅'recommendations'，近排真係太enjoy睇‘Stranger Things'了。,我真係無法抗拒Netflix出點嘅recommendations，近排真係太 enjoy 太 strange嘅 scenes 啦～,0.2462,3.0,0.2978,5.76,1.715,./audio/576.wav
46,你知道咩，我上星期喺Amazon買咗新嘅iPhone，package已經寄到，太快啦！,知道咩？我信星期係Emma買咗新嘅iPhone，Package已經記到太快啦～,0.3023,1.0,0.2909,4.843,1.4086,./audio/986.wav
47,最近新開咗間Nike outlet，減價嘅運動鞋好吸引！等下擺工我哋可以去行下。,最近新聞開咗間Nike Outlet，感價嘅運動鞋好吸引。等下罷工，我哋一齊去行下。,0.2,1.0,0.1744,11.424,1.9929,./audio/1432.wav
48,Duty free shops係airport，我覺得係shopping的天堂，好多好嘢又不charge VAT。,QD Free Charge係Apple，我覺得係shopping的天同好多好嘢有不charge VAT。,0.3333,0.75,0.2942,4.757,1.3994,./audio/706.wav
49,學習唔只係prepare對未來嘅工作，更係為咗讓我哋成為better嘅人。,我就唔止係prepare對未來嘅工作，更係為咗讓我哋成為better嘅人。,0.0811,1.0,0.2717,5.483,1.4897,./audio/1258.wav
50,地方政府打算開launch咗更嚴厲嘅規定去控制smoking，但係我感到有啲憂慮呢個嘅implementation。,地方政府打算開launch咗更嚴厲嘅規定去控制smoking，但係我感到有啲憂慮呢個嘅implementation。,0.0,0.0,0.1998,9.557,1.91,./audio/141.wav
51,"唔好focus太多喺result，而係要擁抱學習過程中嘅mistakes同failure，因為邊個又能一次過做到最好呢?""",唔好focus曬都喺re收，而係要用風學習過程中嘅mistakes同failure，因為邊個遊人一次過做到最好呢？,0.1967,1.0,0.2626,7.915,2.0783,./audio/1357.wav
52,飛機已經被grounded喇，因為typhoon signal已經升到No.8嚟啦。,飛機已經被grounded啦，因為泰寬式奴已經升至number八嚟啦。,0.5238,1.0,0.1978,6.807,1.3462,./audio/2.wav
53,我經常喺YouTube睇美食嘅cooking tutorial，learn咗好多新嘅recipe，自己喺屋企試做嘅話，覺得自己都好像chef咁。,我將喺YouTube睇美食Cooking Tutorial， learn咗好多new嘅recipe。我自己喺屋企試做嘅話，只覺得自己都好似chef咁。,0.1806,1.5,0.3021,7.851,2.3714,./audio/1221.wav
54,跑sprint可以培育你嘅explosive strength，仲能提升你快速启动嘅能力呢。,跑Spring可以培養你嘅it productive string，仲能提升你快速啟動嘅能力呢？,0.3696,1.5,0.1561,9.515,1.4851,./audio/1869.wav
55,"唔要一直Crunch time, give自己一些休息嘅時間，recharge下再keep on學習。",唔要一直training time，歇自己一些休息嘅時間，retrain下，再keep on學習。,0.3529,0.75,0.1169,12.288,1.436,./audio/1622.wav
56,學習就好似workout一樣，需要去遍practice and revise，先會進步喎。,學習就好似work out一樣，需要去變fat嘅，回返先會進步喎。,0.4444,1.0,0.2893,4.907,1.4195,./audio/339.wav
57,我成日都會喺app store度download一啲new game試下，keep up with the trend，玩到好exhilarating.,我成日都會喺App Store download一啲news game試下，keep out with the train玩到好，exhibiting,0.2105,0.7143,0.1214,14.997,1.8207,./audio/1769.wav
58,唔好因為一次嘅failure就放棄，remember，success係由failure學習過嚟嘅!,唔好因為一次嘅failure就諦氣，remember success係由failure學習過嚟嘅。,0.0816,2.0,0.1659,8.811,1.4613,./audio/1536.wav
59,我好鐘意睇網絡劇，尤其係YouTuber出嘅原創短片，點解呢？因為佢地嘅ideas都好unique，每次睇都會覺得好inspired！,我好中意睇網絡劇，尤其係YouTube出嘅原創影片。點解咧？因為佢哋嘅ideas都好unique，每次睇都覺得好inspired。,0.1194,1.0,0.3127,7.808,2.4418,./audio/483.wav
60,周末會有heavy rain，記得帶著你的umbrella出門。,週末會有heavy rain，記得帶着你的ambrella出門。,0.0938,1.0,0.2173,4.971,1.0801,./audio/265.wav
61,返工太累啦，我想去Maldives躺沙滩，感受一下beach life嘅乐趣。,返工太累啦，我想去Malldives探沙灘，感受一下 beach life嘅樂趣。,0.1282,1.5,0.3137,4.907,1.5394,./audio/376.wav
62,冷冬月份，真系需要一个warm hug啊!,冷冬月份，真係需要一個warm black㗎～,0.4286,1.0,0.2332,3.861,0.9004,./audio/741.wav
63,Be resilient，遇到挑戰就face it並從中學習而唔係逃避。,Free resilience遇到挑戰就face it，並從中學習，而唔係逃避。,0.1944,1.0,0.2259,5.355,1.2094,./audio/1013.wav
64,呢度加班好hazardous，唔正常嘅work-life balance沒法sustain長久嘅career。,機度加班好，hard days。唔正常嘅work-life balance會發生長久嘅career。,0.3091,1.5,0.2503,5.845,1.4632,./audio/439.wav
65,天氣轉快會去tropical，出門前記得擦好sunscreen。,天氣轉快，會去 tropical。將門前記得擦好新screen。,0.2188,2.0,0.2214,5.163,1.143,./audio/271.wav
66,天氣預報話投朝會有snowfall，記得戴好beanie出門。,天氣預報話：頭朝會有 snowfall，記得帶好綵繩出門。,0.3226,2.0,0.1928,7.36,1.419,./audio/184.wav
67,晚餐去咗一間sushi bar，嗰度嘅fresh sashimi同handroll真係超級delicious，無得挑！,晚黑去咗一間 sushi bar 嗰度嘅 fresh sashimi 同 hot roll，真係超級 delicious，冇得挑。,0.2203,3.3333,0.3599,6.165,2.2189,./audio/939.wav
68,我此刻正在做preparation去迎接今年嘅summer sales，預計會買好多新衫同鞋，好期待同埋fun。,我此刻正在做preparation去迎接今年嘅summer sales，預計會買好多新衫同裙，好期待同埋分。,0.0714,0.5,0.2311,7.851,1.814,./audio/244.wav
69,今日lunch有冇試過食dim sum? 佢地嘅har gow同siew mai真係非常tasty!,今日 lunch 有冇試過食點心？佢哋嘅哈哥同司麥真係非常 tasty。,0.58,1.0,0.2704,6.251,1.6899,./audio/931.wav
70,繼續keep住呢种好天气就最好唔过喇。,繼續keep住呢種好天氣，就係最好唔過啦～,0.3684,1.0,0.2878,3.499,1.0071,./audio/445.wav
71,本地嘅食水問題已經相當嚴重，必須實行sustainable water management policies。,本地嘅飲水問題已經相當嚴重，必須施行 sustainable water management policies。,0.0536,0.5,0.2166,4.949,1.0719,./audio/596.wav
72,唔好怕challenge，每個問題都係一個機會去learn新嘢同improve自己。,每一個 challenge 每個問題都係一個機會，to learn 新嘢同 improve 自己。,0.2857,7.0,0.3254,4.373,1.4232,./audio/817.wav
73,Time management非常之重要，避免procrastination，efficient嘅完成工作唔但可以提升performance，都可以大大reduce stress levels。,他 manage 文非常注重要避免 procrastination，以達成完成工作，但可以提升 performance，都可以大大 reduce stress levels。,0.2474,1.5,0.1878,8.725,1.6385,./audio/1272.wav
74,喺閒暇時份，我會喺youtube上面search一啲funny videos，笑到肚痛，真係好stress relief.,喺現行時分，我會喺 YouTube 上面 research 一啲 funny video，笑到肚痛，真係好 strict realise。,0.3443,3.0,0.1323,14.997,1.9843,./audio/1676.wav
75,我覺得玩badminton好有趣，唔止可以improve coordination，亦都可以boost up energy level.,我覺得玩Badman很好有趣，唔止可以improve coordination，亦都可以boost energy level。,0.1324,0.6,0.2478,5.205,1.2899,./audio/486.wav
76,我最喜歡嘅TV show喺‘Friends’，我可以睇嗰d劇集睇到笑到翻！,我好喜歡嘅TV shows係《Friends》，我可以睇嗰啲劇集，睇到笑到番。,0.2432,1.0,0.33,4.779,1.5768,./audio/680.wav
77,我一直都鐘意呢對sneakers，但都覺得佢啲價錢太高，所以我就等佢打折先買，果然有patience真係會有reward喎。,我一直都中意呢對 sneakers，但係覺得佢啲鞋前太高，所以我就等佢打折先買。果然有patience，相信會有回鍋和。,0.2581,2.0,0.2455,9.6,2.3569,./audio/415.wav
78,明朝早晨會有fog，drive時要注意road visibility。,明朝早晨會有霧，駕駛要注意 road feasibility。,0.3714,1.5,0.2209,4.629,1.0226,./audio/273.wav
79,这个波罗地糍粑，soft and chewy，里面甜甜的金丝，eating一下你就会心型开花了！,這個菠蘿地字幕：Soft and sugary，裡面甜甜的金絲，一甜一下，你就會心形開花了。,0.5417,0.6667,0.1533,11.733,1.7989,./audio/1471.wav
80,被Rainy day困係屋企，真係令人Feel bored，但係成日咁都有啲Chill vibes。,被Ring呢day困喺屋企，真係令人feel broad，但係成日咁都係有啲trivial。,0.34,1.0,0.1596,11.264,1.7977,./audio/1829.wav
81,Working under pressure其实也係一項skills，緊張嘅時候仲可以maintain calm和focus，提升效率。,Working under pressure其實也係一項技能，緊張嘅時候仲可以 maintain core and focus，提升效率。,0.2206,1.25,0.119,12.819,1.525,./audio/1454.wav
82,落力嘅學習唔代表要放棄leisure time，適度嘅休息可以增加效率。,努力嘅學習唔代表要放棄 leisure time，適當嘅休息可以增加效率。,0.0833,1.5,0.2088,5.888,1.2296,./audio/250.wav
83,教育改革必須支持我哋嘅年青一代，政府需要投資於innovative learning strategies。,教育改革必須之前，我哋嘅年輕一代，政府需要投資unaffordable learning strategies。,0.2593,0.3333,0.2166,6.231,1.3497,./audio/413.wav
84,试下这个烧鹅，皮脆肉滑，咸鲜适中，definitely a must-try！,"試下這個燒鵝，皮脆肉滑，鹹鮮適中。Definitely, 你呃must try",0.3846,1.0,0.1905,8.545,1.6274,./audio/1385.wav
85,我鍾意每日跟freelance project抖一抖，將creativity發揮到極致，感覺真係好achieve.,我中意每日同freelance project鬥一鬥，將creativity發揮到極致，感覺好اش.,0.2281,1.0,0.2699,5.611,1.5144,./audio/1307.wav
86,相信自己，你嘅potential係無窮無盡嘅，學習就係發掘呢份potential嘅過程。,相信自己，你嘅potential係無窮無盡嘅。學習就係發掘呢份potential嘅過程。,0.0227,1.0,0.3233,5.035,1.6279,./audio/715.wav
87,我鍾意做yoga，佢唔單止幫助身體flexibility，仲可以幫助meditate。,我中意做 yoga，佢唔單止幫助身體 flexibility，仲可以幫助 meditate。,0.093,4.0,0.2368,5.547,1.3135,./audio/310.wav
88,原來今日系个rainy day，我淨系带咗一把small umbrella，足唔够用啊！,原來今日係個rainy day，我淨係帶咗一把small umbrella，足唔夠用啊～,0.1364,1.0,0.2584,5.589,1.4442,./audio/926.wav
89,今年我又想去Thailand潜水，尽情享受下underwater world嘅美丽。,今年我又想去泰國潛水，盡情享受下 underwater world嘅美麗。,0.2857,1.5,0.2278,4.949,1.1273,./audio/381.wav
90,这个绿茶冰淇淋，green tea味道strong but not overpowering，冰冷清新，吃完instantly feel rejuvenated!,這個綠茶冰肌膚，great tea，味道將的 not overpowering，冰冷清新，吃完即時會 feel in regeneration。,0.4691,0.8571,0.0845,20.928,1.7675,./audio/1565.wav
91,唔好just focus喺你嘅weakness，你都要appreciate自己的strength。,冇just focus喺你嘅weakness，你都要 appreciate 自己嘅 strength。,0.1224,2.5,0.3124,4.117,1.2863,./audio/425.wav
92,Education system需要不斷innovate，同學生現實需求接軌，例如加強21st century skills嘅訓練，同埋鼓勵lifelong learning。,教育系統需要不斷 innovate，同學生現實需求接軌，例如加強 twen'ty-first century skill 嘅訓練，同埋鼓勵 lifelong learning。,0.3523,1.2,0.1294,16.768,2.1694,./audio/1874.wav
93,做嘅每一件事都謹記儅你own嘅responsibility，唔好比別人去控制你嘅成果。,做任何一件事都謹記：當你安嘅responsibility，冇俾人去控制你嘅成果。,0.2558,1.0,0.2972,5.419,1.6103,./audio/532.wav
94,我喺Thailand 嘅Bangkok 行左一圈，失咗好多sweat，但係Wat Arun 嘅architecture 真系好cool！,我睇零嘅band曲行咗一圈，失咗好多three，但係what around嘅architecture真係好酷。,0.5,1.0,0.2628,6.807,1.7888,./audio/752.wav
95,我個Favourite嘅band係‘BTS’，我每次聽佢地嘅歌曲都感覺好fresh，而且佢地嘅concert太精彩了！,我個 favourite 嘅 band 系 B T S，我每次聽佢哋啲歌曲都感覺好 fresh，而且佢哋嘅康城太精彩了。,0.3729,9.0,0.3764,6.421,2.4172,./audio/765.wav
96,無論讀幾多書，都係experience會教曬你，唔好怕explore新嘅地方和了解新嘅事物。,無論讀幾多書，都係experience會教授你，唔好派 explore 新嘅地方同埋了解新嘅事物。,0.1304,3.0,0.3052,5.909,1.8036,./audio/1356.wav
97,我哋嘅長者搵唔到工作，政府需要提供更多支援，包括job training programs。,我哋嘅長者揾唔到工作，政府需要提供更多支援，包括job training programmes。,0.0652,0.6667,0.2687,5.461,1.4672,./audio/408.wav
98,去Central嘅IFC買Burberry嘅新款手袋，sales話佢地仲有折扣呢!,去 central 嘅 IFC，買 Burberry 嘅新款手袋， sell 話佢哋仲有折扣呢～,0.3171,8.0,0.1354,13.355,1.8088,./audio/1614.wav
99,香港教育制度需要讓學生擁有more comprehensive skill sets，以應對未來社會嘅挑戰。,香港教育制度需要讓學生擁有more concepts skills，以應對未來社會嘅挑戰。,0.2407,0.75,0.2145,5.973,1.2811,./audio/694.wav
100,今晚夜色好美，你them out去海边聽聽Wave sound啊。,今晚夜色好美，你清out去海邊，聽聽Worried Somewhere。,0.6061,1.0,0.1709,7.445,1.2721,./audio/1738.wav
101,唔好再出去，haze好厚，会伤到身体。,唔好再出去，吃食好後會傷到身體。,0.4737,1.0,0.267,3.328,0.8884,./audio/548.wav
102,自家烘焙嘅cupcakes，用上新鮮嘅berries同cream cheese frosting，食咗一定會滿足到你嘅sweet tooth！,這家烘焙嘅 cupcakes，加上新鮮嘅餅皮同 cream cheese frosting，食咗一定會滿足到你嘅 sweet tooth。,0.1831,1.5,0.2956,6.443,1.9044,./audio/936.wav
103,不如我们试下酱爆鸡肝，satisfyingly spicy，满口umami，你会crave for it的！,不如我哋試下醬爆雞乾，starting frying the spicy，滿口阿媽咪，你會carry for it的。,0.5,1.25,0.1876,9.219,1.7291,./audio/1389.wav
104,Cultural diversity係我哋香港嘅其中一個strength，我哋嘅社會需要更具inclusivity，並要尊重其他嘅culture and language。,Cultural diversity係我哋香港嘅其中一個strength。我哋嘅社會需要根據 inclusivity，並並要尊重其他嘅culture and language。,0.0581,0.5,0.1142,18.773,2.1433,./audio/1607.wav
105,Russia嘅Moscow係個歷史同美景並存嘅地方，你會deeply fall in love with it。,Rush嘅Moscow係個歷史同美景並存嘅地方。你會的烈快陷入熱。,0.5536,1.0,0.1224,12.395,1.5166,./audio/1939.wav
106,"喺Italy嘅Venice, 坐gondola嘅時候會有一種unforgettable嘅romantic experience！",睇意大利嘅威尼斯，坐Golden Love嘅時候，會有一種 unforgettable嘅 romantic experience。,0.3906,1.6667,0.0971,13.781,1.3381,./audio/1481.wav
107,今日天氣真係perfect，好適合去beach enjoy下曬太陽。,今日天氣真係perfect，好適合去 beach enjoy下曬太陽。,0.0294,1.0,0.23,4.821,1.109,./audio/182.wav
108,如果你鍾意surfing，Hawaii嘅Waikiki Beach你必需去一次。,如果你中意Shuffling Cove嘅Rocky Beach，你必須去一次。,0.5,1.5,0.0905,11.925,1.0794,./audio/1940.wav
109,我喺Times Square 買左對Nike運動鞋，好舒服又實用，真係值得推薦！,我哋嘅睇 Times Square，買咗對Nike運動鞋，好舒服，有實用，真係值得推薦。,0.225,1.0,0.3741,4.587,1.7161,./audio/1160.wav
110,工作唔係just about earning money，更加係實現自己嘅value，所以我哋需要在work中find passion。,工作唔係just about earning money，更加係實現自己嘅fail。所以我哋需要做一種fun passion。,0.1912,0.2,0.2221,6.72,1.4922,./audio/170.wav
111,我夏天有計劃去Greece喺beach上太陽浴，享受下嘅blue water和white sand呀!,我想同廖思玲做 hiking trip，欣賞佢哋嘅 impression landscapes。,0.9216,1.6667,0.254,4.757,1.2084,./audio/292.wav
112,"我覺得我個人對於各種different types of dimsum 都有一種passion, 尤其係酥皮焗叉燒包味道百食唔厭！",我覺得外國人對於嗰種different type食品，深都係一種 passion，尤其係酥皮焗叉燒包味道百勝五厭。,0.3385,1.0,0.2966,6.807,2.0187,./audio/561.wav
113,Networking唔止幫到你搵新嘅opportunities，更可以增加你嘅industry knowledge.,Nick Woking唔止幫你揾到新嘅opportunity，更可以增加你嘅industrie knowledge。,0.2586,1.5,0.1503,10.82,1.6261,./audio/1456.wav
114,Public safety係每一個市民都關注嘅問題，政府需要提供adequate resources，以保護我哋嘅communities。,Public safety係每一個市民都關注嘅問題，政府需要提供adequate resources以保護我哋嘅communiqué設。,0.0725,0.3333,0.1121,16.213,1.8179,./audio/1876.wav
115,Look outside，大雨變咗小雨，Outdoor plan可以再继续啦。,Look outside，大雨變咗小雨。Outdoor plan，我可以再繼續啦。,0.1282,0.6667,0.1487,7.595,1.1293,./audio/1651.wav
116,喺Egypt噶Cairo， 睇見咗個Great Pyramid，感覺好神秘又magnificent！,喺Egypt嘅Cairo，睇見個Great Pyramid，咁個好神秘又名金字塔。,0.34,1.0,0.2472,5.547,1.371,./audio/849.wav
117,近日好low pressure，可能會有typhoon，記得check新聞頻道的weather update。,近日好low pressure，可能會有颱風，記得check新聞頻道的weather update。,0.1273,0.3333,0.2089,5.589,1.1674,./audio/272.wav
118,呢个weekend嘅weather forecast好不错，好fit去picnic啊。,呢個weekend嘅weather focus好唔錯，好fit去片呢片先啦～,0.3488,1.0,0.1687,7.595,1.2809,./audio/1549.wav
119,真係好懷念媽咪煮嘅卤水鸭，rich嘅醬香同滑嫩嘅鴨肉，直到嘴入面仲感覺到霸道嘅香氣！”,真係好懷念媽咪煮嘅老水鴨，which記住香同滑嫩嘅鴨肉，直到鴨入邊仲感覺到白氣嘅香味。,0.3023,1.0,0.319,8.277,2.6406,./audio/1034.wav
120,今日嘅風真係夠Big，出街要小心唔好被blow走啊。”,今日逆風真係夠逼，出街要小心，唔好被bro走啊！,0.3333,1.0,0.1646,7.403,1.2184,./audio/1743.wav
